Zeit;Kanal A
(ms);(V)

-25.04999936;0.58483020
-25.02499936;0.64142470
-24.99999936;0.64142470
-24.97499936;0.62253930
-24.94999936;0.60371550
-24.92499936;0.64142470
-24.89999936;0.64142470
-24.87499936;0.64142470
-24.84999936;0.64142470
-24.82499936;0.64142470
-24.79999936;0.64142470
-24.77499936;0.62253930
-24.74999936;0.62253930
-24.72499936;0.62253930
-24.69999937;0.62253930
-24.67499937;0.64142470
-24.64999937;0.64142470
-24.62499937;0.62253930
-24.59999937;0.62253930
-24.57499937;0.62253930
-24.54999937;0.62253930
-24.52499937;0.62253930
-24.49999937;0.64142470
-24.47499937;0.62253930
-24.44999937;0.60371550
-24.42499937;0.69801920
-24.39999937;0.64142470
-24.37499937;0.64142470
-24.34999937;0.62253930
-24.32499937;0.64142470
-24.29999938;0.62253930
-24.27499938;0.62253930
-24.24999938;0.64142470
-24.22499938;0.62253930
-24.19999938;0.69801920
-24.17499938;0.64142470
-24.14999938;0.64142470
-24.12499938;0.62253930
-24.09999938;0.62253930
-24.07499938;0.64142470
-24.04999938;0.64142470
-24.02499938;0.64142470
-23.99999938;0.64142470
-23.97499938;0.64142470
-23.94999938;0.64142470
-23.92499938;0.64142470
-23.89999939;0.64142470
-23.87499939;0.64142470
-23.84999939;0.64142470
-23.82499939;0.64142470
-23.79999939;0.64142470
-23.77499939;0.62253930
-23.74999939;0.64142470
-23.72499939;0.62253930
-23.69999939;0.64142470
-23.67499939;0.62253930
-23.64999939;0.62253930
-23.62499939;0.62253930
-23.59999939;0.62253930
-23.57499939;0.62253930
-23.54999939;0.64142470
-23.52499939;0.64142470
-23.49999940;0.64142470
-23.47499940;0.64142470
-23.44999940;0.62253930
-23.42499940;0.64142470
-23.39999940;0.62253930
-23.37499940;0.64142470
-23.34999940;0.62253930
-23.32499940;0.64142470
-23.29999940;0.62253930
-23.27499940;0.64142470
-23.24999940;0.66031000
-23.22499940;0.64142470
-23.19999940;0.64142470
-23.17499940;0.64142470
-23.14999940;0.64142470
-23.12499940;0.62253930
-23.09999941;0.62253930
-23.07499941;0.64142470
-23.04999941;0.64142470
-23.02499941;0.62253930
-22.99999941;0.64142470
-22.97499941;0.60371550
-22.94999941;0.66031000
-22.92499941;0.69801920
-22.89999941;0.60371550
-22.87499941;0.69801920
-22.84999941;0.64142470
-22.82499941;0.64142470
-22.79999941;0.62253930
-22.77499941;0.64142470
-22.74999941;0.64142470
-22.72499942;0.64142470
-22.69999942;0.64142470
-22.67499942;0.62253930
-22.64999942;0.62253930
-22.62499942;0.64142470
-22.59999942;0.64142470
-22.57499942;0.64142470
-22.54999942;0.64142470
-22.52499942;0.64142470
-22.49999942;0.62253930
-22.47499942;0.62253930
-22.44999942;0.64142470
-22.42499942;0.64142470
-22.39999942;0.62253930
-22.37499942;0.64142470
-22.34999942;0.64142470
-22.32499943;0.62253930
-22.29999943;0.64142470
-22.27499943;0.64142470
-22.24999943;0.64142470
-22.22499943;0.62253930
-22.19999943;0.64142470
-22.17499943;0.62253930
-22.14999943;0.64142470
-22.12499943;0.62253930
